Sample_ID,Category,Initial_read_size ,Approximate_Size_of_A.tridentata_cleaned_reads,Approximate_Size_of_A.annua_cleaned_reads,Approximate_Size_of_human_cleaned_reads,Percentage_Cleaned_Reads,Final_read_size,No_of_cleaned_PE_raw_reads_in_basepairs
IDT3,Magenta,38.0 Gb,24.0 Gb,4.4 Gb,970 Mb,77.28947368,8.4 Gb,"25,738,784"
UTT2,Magenta,58.0 Gb,34.0 Gb,4.6 Gb,1.31 Gb,68.81034483,18.2  Gb,"55,350,386"
29-ID,Greenhouse,4.4 Gb,2.2 Gb,658 Mb,0  Mb,64.95454545,1.48 Gb,"4,207,818"
143-ID,Greenhouse,3.6 Gb,1.83 Gb,550 Mb,0  Mb,66.11111111,1.29 Gb,"3,683,012"
163-ID,Greenhouse,3.4 Gb,1.84 Gb,540 Mb,0  Mb,70,1.11 Gb,"3,158,346"
192-ID,Greenhouse,3.4 Gb,1.66 Gb,456 Mb,0  Mb,62.23529412,1.31 Gb,"3,717,942"
246-NV,Greenhouse,4.2 Gb,2.20 Gb,602 Mb,0  Mb,66.71428571,1.58 Gb,"4,490,656"
326-NV,Greenhouse,3.6 Gb,1.98 Gb,576 Mb,0  Mb,71,1.15 Gb,"3,267,482"
379-NV,Greenhouse,3.8 Gb,2.02 Gb,560 Mb,0  Mb,67.89473684,1.29 Gb,"3,666,774"
399-NV,Greenhouse,4.0 Gb,2.40 Gb,580 Mb,0  Mb,74.5,1.21 Gb,"3,440,062"
422-UT,Greenhouse,5.8 Gb,3.20 Gb,780 Mb,0  Mb,68.62068966,2.02 Gb,"5,794,018"
443-UT,Greenhouse,4.0 Gb,2.02 Gb,562 Mb,0  Mb,64.55,1.47 Gb,"4,186,566"
541-UT,Greenhouse,4.0 Gb,2.20 Gb,620 Mb,0  Mb,70.5,1.25 Gb,"3,558,232"
579-UT,Greenhouse,3.8 Gb,1.98 Gb,564 Mb,0  Mb,66.94736842,1.30 Gb,"3,696,426"
2-Wild,Field/Wild,3.2 Gb,1.8 Gb,464 Mb,4.4 Mb,70.8875,911 Mb,"2,601,426"
3-Wild,Field/Wild,3.4 Gb,2.0 Gb ,474 Mb,3.6 Mb,72.87058824,907 Mb,"2,590,152"
8-Wild,Field/Wild,4.0 Gb,2.0 Gb,524 Mb,2.6 Mb,63.165,2.3 Gb,"6,519,242"
14-Wild,Field/Wild,3.0 Gb,2.0 Gb,502 Mb,1.0 Mb,83.43333333,853 Mb,"2,436,802"
15-Wild,Field/Wild,4.0 Gb,2.2 Gb,588 Mb,48 Mb,70.9,1.2 Gb,"3,604,450"
21-Wild,Field/Wild,4.0 Gb,2.2 Gb,540 Mb,12.8 Mb,68.82,1.3 Gb,"3,559,682"
24-Wild,Field/Wild,3.0 Gb,1.7 Gb,470 Mb,1.9 Mb,72.39666667,800 Mb,"2,283,504"
26-Wild,Field/Wild,3.6 Gb,2.2 Gb,548 Mb,13.4 Mb,76.70555556,1.0 Gb,"2,960,114"
29-Wild,Field/Wild,3.6 Gb,2.2 Gb,448 Mb,2.2 Mb,73.61666667,853 Mb,"2,433,302"
32-Wild,Field/Wild,3.4 Gb,2.2 Gb,510 Mb,1.5 Mb,79.75,911 Mb,"2,590,152"
33-Wild,Field/Wild,3.8 Gb,2.2 Gb,512 Mb,3.6 Mb,71.46315789,1.2 Gb,"3,528,676"
34-Wild,Field/Wild,3.4 Gb,1.9 Gb,488 Mb,8.4 Mb,70.48235294,1.1 Gb,"3,125,510"
35-Wild,Field/Wild,4.0 Gb,1.8 Gb,234 Mb,556 Mb,64.75,1.3 Gb,"3,839,712"
36-Wild,Field/Wild,3.6 Gb,2.0 Gb,518 Mb,3.0 Mb,70.02777778,965 Mb,"2,754,048"